2016-03-08 13:05:36,074 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact kxml2:kxml2:jar:2.3.0 has been relocated to net.sf.kxml:kxml2:jar:2.3.0
2016-03-08 13:05:36,074 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact kxml2:kxml2:jar:2.3.0 has been relocated to net.sf.kxml:kxml2:jar:2.3.0
2016-03-08 13:05:36,267 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact jgrapht:jgrapht:jar:0.7.3 has been relocated to org.jgrapht:jgrapht-jdk1.5:jar:0.7.3
2016-03-08 13:05:36,268 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact kxml2:kxml2:jar:2.3.0 has been relocated to net.sf.kxml:kxml2:jar:2.3.0
2016-03-08 13:05:40,362 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-08 13:05:40,362 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\Program_Workspaces\Server Programming\GitVersion\PhoneParkServer\jettyTestRun\src\main\resources
2016-03-08 13:05:40,362 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-08 13:05:40,362 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\Program_Workspaces\Server Programming\GitVersion\PhoneParkServer\jettyTestRun\src\test\resources
2016-03-08 13:05:53,126 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: jettyTestRun:jettyTestRun:0.0.1-SNAPSHOT @ E:\Program_Workspaces\Server Programming\GitVersion\PhoneParkServer\jettyTestRun\pom.xml.
2016-03-08 13:05:53,188 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact jgrapht:jgrapht:jar:0.7.3 has been relocated to org.jgrapht:jgrapht-jdk1.5:jar:0.7.3
